item,total_messages,observed_updates_per_sec,repeated_value_percent,average_time_delta_between_updates,min,max,total_runtime_seconds
USLAB000058,1,0.083288,0.00,,754.916626,754.916626,12.007
USLAB000059,1,0.083288,0.00,,23.323330,23.323330,12.007
USLAB000055,1,0.083288,0.00,,2.432512,2.432512,12.007
NODE3000012,1,0.083288,0.00,,17.106964,17.106964,12.007
NODE3000013,8,0.666305,0.00,1.157576,4.187500,4.250000,12.007
S1000003,1,0.083288,0.00,,3.764275,3.764275,12.007
P1000003,7,0.583017,0.00,1.687438,4.014564,4.077136,12.007
S0000001,1,0.083288,0.00,,-29.967041,-29.967041,12.007
S0000002,1,0.083288,0.00,,14.851680,14.851680,12.007
S0000004,12,0.999457,0.00,0.985207,42.326675,43.073746,12.007
Z1000009,2,0.166576,0.00,1.317542,6600.000000,6601.000000,12.007
Z1000005,2,0.166576,0.00,8.228118,0.584473,0.591309,12.007
NODE3000005,1,0.083288,0.00,,27.000000,27.000000,12.007
